"","DMSO1","DMSO2","DMSO3","AMLE1","AMLE2","AMLE3"
"Ddx27",2505,2239,2145,1683,2289,1505
"Ddx28",662,573,562,448,579,481
"Ddx31",626,559,526,418,478,354
"Ddx39",3708,3121,3118,1935,2335,1693
"Ddx39b",7817,7290,7170,5606,7507,5473
"Ddx3x",15712,13221,13452,9667,12351,10086
"Ddx3y",0,0,0,0,0,0
"Ddx4",1,5,3,7,5,6
"Ddx41",2420,2118,2160,1551,1865,1819
"Ddx42",3480,3132,3005,2899,3916,2709
"Ddx43",3,4,3,9,6,7
"Ddx46",5015,4556,4501,3953,5138,3900
"Ddx47",2163,1843,1942,1575,2059,1506
"Ddx49",866,825,783,728,969,619
"Ddx5",32961,29942,30482,28861,40611,28546
"Ddx50",1661,1456,1593,1226,1682,1303
"Ddx51",954,875,823,575,695,518
"Ddx52",1536,1325,1294,1138,1641,1167
"Ddx54",4132,3776,3804,3432,4155,3286
"Ddx55",591,531,543,523,723,508
"Ddx56",1535,1329,1328,915,1161,810
"Ddx58",1715,1359,1364,1773,1959,1481
"Ddx59",129,120,128,107,133,126
"Ddx6",10121,9297,9398,10621,14777,11209
"Ddx60",294,229,249,455,478,419
"Deaf1",764,626,688,547,748,580
"Dear1",2,0,3,1,0,1
"Deb1",252,254,282,187,227,194
"Decr1",514,458,539,543,804,477
"Decr2",469,456,538,520,720,585
"Dedd",1199,1110,1143,1066,1455,1134
"Dedd2",1095,956,826,920,1099,945
"Def6",3989,3665,3288,3242,3951,3003
"Def8",2450,2191,2187,1797,2190,1827
"Defa-ps1",0,0,0,0,0,0
"Defa-ps12",0,0,0,0,0,0
"Defa-ps13",0,0,0,0,0,0
"Defa-rs1",0,0,0,0,0,0
"Defa-rs7",0,0,0,0,0,0
"Defa17",0,0,0,0,0,0
"Defa2",0,0,0,0,0,0
"Defa20",0,0,0,0,0,0
"Defa21",0,0,0,0,0,0
"Defa22",0,0,0,0,0,0
"Defa23",0,0,0,0,0,0
"Defa24",0,0,0,0,0,0
"Defa25",0,0,0,0,0,0
"Defa26",0,0,0,0,0,0
"Defa3",0,0,0,0,0,0
"Defa4",0,0,0,0,0,0
"Defa5",0,0,0,0,0,0
"Defa6",0,0,0,0,0,0
"Defb1",0,0,0,0,0,0
"Defb10",0,0,0,0,0,0
"Defb11",0,0,0,0,0,0
"Defb12",0,0,0,0,0,0
"Defb13",0,0,0,0,0,0
